idx_no,crop_name_en,crop_name_hi,crop_name_mr,disease_name_en,disease_name_hi,disease_name_mr,disease_type,severity_level,cause,question_en,question_hi,question_mr,remedy_en,remedy_hi,remedy_mr,season,affected_plant_part,indian_state(major)
242,maize,मक्का,मक्का,Common Rust,सामान्य गेरूआ,तांबेरा,Fungal,Severe,Puccinia sorghi,A powdery orange dust gets on my hands whenever I touch the leaves.,जब भी मैं पत्तियों को छूता हूँ तो एक नारंगी रंग की धूल मेरे हाथों पर लग जाती है।,जेव्हा मी पानांना स्पर्श करतो तेव्हा माझ्या हातावर पावडर नारंगी धूळ येते.,Apply zineb 75% WP at 2 g per litre as spray,Apply zineb 75% WP at 2 g per litre as spray,झिनेब 75% डब्ल्यूपी 2 ग्रॅम प्रति लिटर या प्रमाणात फवारणीसाठी वापरा,Monsoon,Leaf Sheath,Madhya Pradesh
243,sugarcane,गन्ना,ऊस ,Yellow Leaf Disease,पीली पत्ती रोग,पिवळा पानांचा रोग ,Viral,Low,Sugarcane yellow leaf virus,Multiple leaves on my plant are showing a yellow midrib at the same time.,मेरे पौधे पर एक ही समय में कई पत्तियाँ पीली मध्य शिरा दिखा रही हैं।,माझ्या रोपावरील अनेक पाने एकाच वेळी पिवळ्या रंगाचे मिड्रिब दाखवत आहेत.,Remove and destroy infected clumps to reduce virus inoculum,वायरस इनोकुलम को कम करने के लिए संक्रमित गुच्छों को हटाएं और नष्ट करें,व्हायरस इनोकुलम कमी करण्यासाठी संक्रमित गुच्छे काढून टाका आणि नष्ट करा,Rabi,Tillers,Madhya Pradesh
244,soyabean,सोयाबीन ,सोयाबीन ,Bacterial Pustule,जीवाणु पुस्टूल ,जिवाणूजन्य फोड ,Bacterial,Mild,Xanthomonas axonopodis,The pustules are more visible on the upper surface of the leaf blade.,फुंसियाँ पत्ती के फलक की ऊपरी सतह पर अधिक दिखाई देती हैं।,पानाच्या ब्लेडच्या वरच्या पृष्ठभागावर पस्टुल्स अधिक दिसतात.,Avoid overhead irrigation to reduce leaf wetness period,पत्तियों के गीलेपन की अवधि को कम करने के लिए ऊपरी सिंचाई से बचें,पानांचा ओलावा कालावधी कमी करण्यासाठी ओव्हरहेड सिंचन टाळा,Kharif,Leaves,Telangana
245,sugarcane,गन्ना,ऊस ,Pokkah Boeng,पोक्का बोइंग,शेंडा कुजणे ,Fungal,Low,Fusarium moniliforme,The top leaves are showing chlorosis with irregular light green patches.,शीर्ष पत्तियों पर अनियमित हल्के हरे रंग के धब्बों के साथ क्लोरोसिस दिखाई दे रहा है।,वरच्या पानांवर अनियमित हलके हिरवे ठिपके असलेले क्लोरोसिस दिसून येते.,Use Propiconazole 25 EC at 1 ml per liter spray on tops,शीर्ष पर प्रोपीकोनाज़ोल 25 ईसी 1 मिलीलीटर प्रति लीटर स्प्रे का प्रयोग करें,प्रोपिकोनाझोल 25 ईसी 1 मिली प्रति लिटर या प्रमाणात फवारणी करा,Monsoon,Leaf Sheath,Uttar Pradesh
246,Wheat,गेहूँ,गेहूँ,Loose Smut,कंडुआ रोग,काजळी ,Fungal,Mild,Ustilago tritici,"The spore mass just blows away, leaving the rachis on the spike bare.","बीजाणु का द्रव्यमान उड़ जाता है, जिससे स्पाइक पर रचियाँ नंगी हो जाती हैं।","स्पोअर मास फक्त उडून जातो, ज्यामुळे स्पाइकवरील रॅचिस उघडे राहतात.",Soak seed in Carbendazim solution before field planting,खेत में बुआई से पहले बीज को कार्बेन्डाजिम के घोल में भिगो दें,पेरणीपूर्वी बियाणे कार्बेन्डाझिमच्या द्रावणात भिजवावे,Winter,Grains,Bihar
247,onion,प्याज ,कांदा ,Purple Blotch,बैंगनी धब्बा,जांभळा करपा ,Fungal,Mild,Alternaria porri,I see white sunken lesions that turn purple-brown on the leaf blades.,मुझे पत्ती के ब्लेड पर सफेद धंसे हुए घाव दिखाई देते हैं जो बैंगनी-भूरे रंग में बदल जाते हैं।,मला पानाच्या ब्लेडवर जांभळ्या-तपकिरी रंगाचे पांढरे बुडलेले घाव दिसतात.,Use Propiconazole 25 EC at 1 ml per liter spray solution,प्रोपीकोनाज़ोल 25 ईसी 1 मिलीलीटर प्रति लीटर स्प्रे घोल का उपयोग करें,प्रोपिकोनाझोल 25 ईसी 1 मिली प्रति लिटर या प्रमाणात फवारणी करा,Winter,Bulb,Rajasthan
248,rice,चावल ,तांदूळ ,Sheath Blight,शीथ ब्लाइट,पर्णकोश करपा ,Fungal,Mild,Rhizoctonia solani,I can only see that faint oval lesion on the sheath if I look really closely.,अगर मैं वास्तव में करीब से देखूं तो मैं केवल म्यान पर उस हल्के अंडाकार घाव को ही देख सकता हूं।,जर मी खरोखर बारकाईने पाहिले तरच मला म्यानवरील अंडाकृती घाव दिसतील.,Apply Trichoderma harzianum at sowing for soil protection,मिट्टी की सुरक्षा के लिए बुआई के समय ट्राइकोडर्मा हार्ज़ियानम डालें,मातीच्या संरक्षणासाठी ट्रायकोडर्मा हार्झिअनम पेरणीच्या वेळी वापरा,Kharif,Leaf Sheath,Uttarakhand
249,onion,प्याज ,कांदा ,Downy Mildew,डाउनी मिल्ड्यू,केवडा,Fungal,Severe,Peronospora destructor,The bulb neck is becoming soft and infected during the storage period.,भंडारण अवधि के दौरान बल्ब की गर्दन नरम और संक्रमित हो रही है।,स्टोरेज कालावधी दरम्यान बल्ब मान मऊ आणि संक्रमित होत आहे.,Apply Mancozeb 75 WP at 2.5 gram per liter foliar spray,मैंकोजेब 75 डब्लूपी 2.5 ग्राम प्रति लीटर की दर से पर्ण छिड़काव करें,मॅन्कोझेब 75 डब्ल्यूपी 2.5 ग्रॅम प्रति लिटर या प्रमाणात फवारणी करा,Rabi,Neck,Haryana
250,Wheat,गेहूँ,गेहूँ,Loose Smut,कंडुआ रोग,काजळी ,Fungal,Severe,Ustilago tritici,Black masses on the ears are scattering in the wind to infect the flowers.,कानों पर काला द्रव्यमान हवा में बिखरकर फूलों को संक्रमित कर रहा है।,फुलांना लागण होण्यासाठी कानांवर काळे मास वाऱ्यावर पसरत आहेत.,Use hot water seed treatment at 52 degree for 10 minutes,52 डिग्री तापमान पर 10 मिनट तक गर्म पानी से बीजोपचार करें,10 मिनिटांसाठी 52 अंशांवर गरम पाण्याची बीजप्रक्रिया वापरा,Rabi,Glumes,Haryana
251,soyabean,सोयाबीन ,सोयाबीन ,Charcoal Rot,चारकोल रोट,कोळशी कूज ,Fungal,Mild,Macrophomina phaseolina,"My plants are wilting during the pod-filling stage in this hot, dry weather.","इस गर्म, शुष्क मौसम में फली भरने की अवस्था के दौरान मेरे पौधे मुरझा रहे हैं।","या उष्ण, कोरड्या हवामानात शेंगा भरण्याच्या अवस्थेत माझी रोपे कोमेजत आहेत.",Avoid water stress especially during reproductive growth,विशेष रूप से प्रजनन विकास के दौरान पानी के तनाव से बचें,विशेषतः पुनरुत्पादक वाढीदरम्यान पाण्याचा ताण टाळा,Summer,Taproot,Uttar Pradesh
252,Tomato,टमाटर,टोमॅटो ,Early Blight,अगेती झुलसा,लवकर येणारा करपा,Fungal,Low,Alternaria solani,A target-board pattern of rings is visible on the leaf spots.,पत्ती के धब्बों पर छल्लों का लक्ष्य-बोर्ड पैटर्न दिखाई देता है।,पानांच्या ठिपक्यांवर टार्गेट-बोर्ड रिंग्जचा नमुना दिसतो.,Apply propiconazole 25% EC at 1 ml per litre water,प्रोपिकोनाज़ोल 25% ईसी 1 मिली प्रति लीटर पानी में डालें,प्रोपिकोनाझोल 25% EC 1 मिली प्रति लिटर पाण्यात मिसळा,Rabi,Stem,Rajasthan
253,sugarcane,गन्ना,ऊस ,Pokkah Boeng,पोक्का बोइंग,शेंडा कुजणे ,Fungal,Severe,Fusarium moniliforme,A necrotic rot is developing in the growing point of the young shoot tissue.,युवा प्ररोह ऊतक के विकास बिंदु पर एक परिगलित सड़ांध विकसित हो रही है।,तरुण अंकुराच्या ऊतींच्या वाढीच्या ठिकाणी नेक्रोटिक रॉट विकसित होत आहे.,Avoid waterlogging which predisposes plant to Fusarium attack,"जलभराव से बचें, जिससे पौधे पर फ्यूसेरियम का हमला होने का खतरा रहता है",पाणी साचणे टाळा ज्यामुळे झाडाला फ्युसेरियमच्या हल्ल्याची शक्यता असते,Summer,Leaf Sheath,Maharashtra
254,maize,मक्का,मक्का,Northern Corn Leaf Blight,उत्तरी मक्का पत्ती झुलसा,तुसावरील करपा,Fungal,Mild,Exserohilum turcicum,Long gray-green lesions are appearing on the lower leaves.,निचली पत्तियों पर लंबे भूरे-हरे घाव दिखाई दे रहे हैं।,खालच्या पानांवर लांब राखाडी-हिरव्या जखमा दिसतात.,Spray propiconazole 25% EC at 1 ml per litre,प्रोपिकोनाज़ोल 25% ईसी 1 मिली प्रति लीटर की दर से छिड़काव करें,प्रोपिकोनाझोल 25% EC 1 मिली प्रति लिटर या प्रमाणात फवारणी करावी,Kharif,Leaf,Madhya Pradesh
255,banana,केला,केळी,Banana Mosaic Virus,केला मोजेक वायरस,केवडा ,Viral,Low,Cucumber mosaic virus,The leaves are narrower and more twisted because the infection is so severe.,पत्तियाँ संकरी और अधिक मुड़ी हुई होती हैं क्योंकि संक्रमण बहुत गंभीर होता है।,पाने अरुंद आणि अधिक वळलेली असतात कारण संसर्ग खूप तीव्र असतो.,Avoid planting banana near cucurbit crops like cucumber,खीरा जैसी कद्दूवर्गीय फसलों के पास केला लगाने से बचें,काकडीच्या पिकांजवळ केळीची लागवड टाळा,Rabi,Whole Plant,West Bengal
256,groundnut,मूंगफली ,मूंगफली ,Collar Rot,कॉलर रोट,कॉलर रोट ,Fungal,Severe,Aspergillus niger,My plants are wilting suddenly at the seedling stage due to collar damage.,कॉलर क्षति के कारण मेरे पौधे अंकुरण अवस्था में अचानक मुरझा रहे हैं।,कॉलर खराब झाल्यामुळे माझी रोपे रोपांच्या टप्प्यावर अचानक कोमेजत आहेत.,Use Trichoderma viride at 5 gram per kg as seed treatment,बीजोपचार के रूप में ट्राइकोडर्मा विराइड 5 ग्राम प्रति किलोग्राम का प्रयोग करें,ट्रायकोडर्मा विराइड 5 ग्रॅम प्रति किलो या प्रमाणात बीजप्रक्रिया म्हणून वापरा,Summer,Stem Base,Uttar Pradesh
257,banana,केला,केळी,Moko Disease,मोको रोग,मोको रोग ,Bacterial,Severe,Ralstonia solanacearum,"When I cut the unripe fruit open, I see a brown internal rot.","जब मैंने कच्चे फल को काटा, तो मुझे भूरे रंग की आंतरिक सड़ांध दिखाई दी।",जेव्हा मी न पिकलेले फळ उघडे कापतो तेव्हा मला एक तपकिरी अंतर्गत कुजलेली दिसते.,Plant resistant varieties like Pisang Jari Buaya locally,स्थानीय स्तर पर पिसांग जरी बुआया जैसी प्रतिरोधी किस्में लगाएं,पिसांग जरी बुआया सारख्या प्रतिरोधक जाती स्थानिक पातळीवर लावा,Monsoon,Whole Plant,Kerala
258,maize,मक्का,मक्का,Northern Corn Leaf Blight,उत्तरी मक्का पत्ती झुलसा,तुसावरील करपा,Fungal,Mild,Exserohilum turcicum,The dead leaf tissue is forming large necrotic areas.,मृत पत्ती ऊतक बड़े परिगलित क्षेत्रों का निर्माण कर रहे हैं।,मृत पानांचे ऊती मोठ्या नेक्रोटिक क्षेत्रे तयार करत आहेत.,Remove and burn infected crop debris after harvest,कटाई के बाद संक्रमित फसल के मलबे को हटा दें और जला दें,पीक काढणीनंतर संक्रमित पीक मोडतोड काढून टाका आणि जाळून टाका,Monsoon,Leaf,Bihar
259,potato,आलू ,बटाटा ,Fusarium Dry Rot,फ्यूसेरियम शुष्क सड़न ,फ्युसेरिअम कोरडी कुज ,Fungal,Mild,Fusarium solani,"The tuber surface looks normal, but it's completely rotten inside.","कंद की सतह तो सामान्य दिखती है, लेकिन अंदर से वह पूरी तरह सड़ चुका है।","कंद पृष्ठभाग सामान्य दिसत आहे, परंतु तो आतून पूर्णपणे कुजलेला आहे.",Apply Carbendazim 50 WP seed treatment before planting,रोपण से पहले कार्बेन्डाजिम 50 डब्लूपी बीज उपचार करें,लागवडीपूर्वी कार्बेन्डाझिम ५० डब्ल्यूपी बियाणे प्रक्रिया करा,Rabi,Tubers,Karnataka
260,rice,चावल ,तांदूळ ,Bacterial Leaf Streak,जीवाणु पत्ती धारी रोग ,जिवाणूजन्य पानावरील रेषा ,Bacterial,Mild,Xanthomonas oryzae pv. oryzicola,I see faint yellow streaks on the leaf after that splashing rain event.,मुझे उस झमाझम बारिश की घटना के बाद पत्ती पर हल्की पीली धारियाँ दिखाई देती हैं।,पावसाच्या त्या शिडकावानंतर मला पानावर फिकट पिवळ्या रेषा दिसतात.,Spray Copper Oxychloride and avoid overhead irrigation,कॉपर ऑक्सीक्लोराइड का छिड़काव करें और ऊपरी सिंचाई से बचें,कॉपर ऑक्सिक्लोराईडची फवारणी करा आणि ओव्हरहेड सिंचन टाळा,Kharif,Leaves,Madhya Pradesh
261,soyabean,सोयाबीन ,सोयाबीन ,Charcoal Rot,चारकोल रोट,कोळशी कूज ,Fungal,Severe,Macrophomina phaseolina,There is a grey discoloration with black dots inside the base of the stem.,तने के आधार के अंदर काले धब्बों के साथ एक धूसर मलिनकिरण होता है।,स्टेमच्या पायथ्यामध्ये काळ्या ठिपक्यांसह राखाडी रंगाचा रंग असतो.,Use Pseudomonas fluorescens biocontrol as soil treatment,मृदा उपचार के रूप में स्यूडोमोनास फ्लोरेसेंस बायोकंट्रोल का उपयोग करें,माती उपचार म्हणून स्यूडोमोनास फ्लोरोसेन्स बायोकंट्रोल वापरा,Summer,Roots,Chhattisgarh
262,groundnut,मूंगफली ,मूंगफली ,Bud Necrosis Disease,कली ऊतकक्षय रोग,शेंडा मर,Viral,Severe,Groundnut bud necrosis virus,The leaves are showing chlorotic rings and mottling on the surface.,पत्तियों की सतह पर क्लोरोटिक छल्ले और धब्बे दिखाई दे रहे हैं।,पाने पृष्ठभागावर क्लोरोटिक वलय आणि चिखल दाखवत आहेत.,Apply Fipronil 5 SC at 1.5 ml per liter foliar spray mix,फिप्रोनिल 5 एससी 1.5 मिली प्रति लीटर पर्ण स्प्रे मिश्रण लगाएं,फिप्रोनिल 5 एससी 1.5 मिली प्रति लिटर या प्रमाणात फॉलीअर स्प्रे मिसळा,Kharif,Buds,Karnataka
263,groundnut,मूंगफली ,मूंगफली ,Rust,गेरूआ,तांबेरा,Fungal,Mild,Puccinia arachidis,Small orange to brown pustules are erupting on the lower leaf surface.,निचली पत्ती की सतह पर छोटे नारंगी से भूरे रंग के दाने निकल रहे हैं।,पानांच्या खालच्या पृष्ठभागावर लहान केशरी ते तपकिरी रंगाचे पुस्ट्युल्स बाहेर पडत आहेत.,Apply Azoxystrobin 23 SC at 1 ml per liter spray dose,एज़ोक्सीस्ट्रोबिन 23 एससी 1 मिलीलीटर प्रति लीटर स्प्रे खुराक पर लगाएं,Azoxystrobin 23 SC 1 मिली प्रति लिटर या प्रमाणात फवारणी करा,Kharif,Stem,Uttar Pradesh
264,onion,प्याज ,कांदा ,Purple Blotch,बैंगनी धब्बा,जांभळा करपा ,Fungal,Low,Alternaria porri,I can see a yellow halo around the purple lesion on the green leaf.,मैं हरी पत्ती पर बैंगनी घाव के चारों ओर एक पीला प्रभामंडल देख सकता हूँ।,मला हिरव्या पानावर जांभळ्या जखमाभोवती पिवळा प्रभामंडल दिसतो.,Apply Tebuconazole 250 EC at 1 ml per liter foliar spray,टेबुकोनाज़ोल 250 ईसी 1 मिलीलीटर प्रति लीटर की दर से पर्ण छिड़काव करें,टेबुकोनाझोल 250 EC 1 मिली प्रति लिटर या प्रमाणात फवारणी करा,Kharif,Leaf Tip,Tamil Nadu
265,maize,मक्का,मक्का,Gray Leaf Spot,धूसर पत्ती धब्बा ,करपा,Fungal,Low,Cercospora zeae-maydis,I’m seeing pencil-thin gray strips running along the length of the leaves.,मैं पत्तियों की लंबाई के साथ-साथ पेंसिल जैसी पतली भूरे रंग की पट्टियाँ देख रहा हूँ।,मी पानांच्या लांबीवर पेन्सिल-पातळ राखाडी पट्ट्या पाहत आहे.,Remove crop debris and plow deep after harvest,कटाई के बाद फसल का मलबा हटा दें और गहरी जुताई करें,पीक मोडतोड काढा आणि काढणीनंतर खोल नांगरणी करा,Rabi,Leaf Sheath,Himachal Pradesh
266,Tomato,टमाटर,टोमॅटो ,Tomato Mosaic Virus,टमाटर मोजेक वायरस,टोमॅटो मोझॅक व्हायरस,Viral,Low,Tomato mosaic virus,The fruit is showing yellow blotches or a brown internal necrosis.,फल पर पीले धब्बे या भूरे रंग का आंतरिक परिगलन दिखाई दे रहा है।,फळावर पिवळे डाग किंवा तपकिरी अंतर्गत नेक्रोसिस दिसून येत आहे.,Control aphid vector with imidacloprid at 0.5 ml per litre,एफिड रोगवाहक को इमिडाक्लोप्रिड 0.5 मिली प्रति लीटर की दर से नियंत्रित करें,इमिडाक्लोप्रिड ०.५ मिली प्रति लिटर या प्रमाणात ऍफिड वेक्टर नियंत्रित करा,Summer,Leaf,Haryana
267,onion,प्याज ,कांदा ,Neck Rot,गर्दन सड़न,मान कुजणे ,Fungal,Low,Botrytis allii,I found black sclerotia embedded in the rotted neck tissue.,मुझे गर्दन के सड़े हुए ऊतकों में काला स्क्लेरोटिया लगा हुआ मिला।,मला काळ्या स्क्लेरोटीया कुजलेल्या मानेच्या ऊतीमध्ये एम्बेड केलेले आढळले.,Apply Procymidone 50 WP at 1 gram per liter foliar spray,प्रोसीमिडोन 50 डब्ल्यूपी 1 ग्राम प्रति लीटर की दर से पर्ण स्प्रे करें,Procymidone 50 WP 1 ग्रॅम प्रति लिटर या प्रमाणात फवारणी करा,Post-Monsoon,Inner Scales,Tamil Nadu
268,Tomato,टमाटर,टोमॅटो ,Septoria Leaf Spot,सेप्टोरिया पत्ती धब्बा,सेप्टोरिया पानावरील ठिपके,Fungal,Low,Septoria lycopersici,There are tiny black dots visible in the center of every spot.,प्रत्येक स्थान के मध्य में छोटे-छोटे काले बिंदु दिखाई देते हैं।,प्रत्येक स्पॉटच्या मध्यभागी लहान काळे ठिपके दिसतात.,Stake plants properly to improve air flow around leaves,पत्तियों के चारों ओर हवा के प्रवाह को बेहतर बनाने के लिए पौधों को ठीक से बाँधें,पानांभोवती हवेचा प्रवाह सुधारण्यासाठी झाडे योग्य प्रकारे लावा,Kharif,Leaf,Bihar
269,potato,आलू ,बटाटा ,Blackleg,काली टांग रोग ,काळी कुज,Bacterial,Low,Pectobacterium atrosepticum,The black decay is extending from the stem base down into the soil.,काला क्षय तने के आधार से नीचे मिट्टी तक फैल रहा है।,काळे क्षय स्टेम बेसपासून खाली जमिनीत पसरत आहे.,Use Bordeaux mixture as protective spray before infection,संक्रमण से पहले सुरक्षात्मक स्प्रे के रूप में बोर्डो मिश्रण का उपयोग करें,संसर्ग होण्यापूर्वी संरक्षणात्मक स्प्रे म्हणून बोर्डो मिश्रण वापरा,Rabi,Stolons,Himachal Pradesh
270,onion,प्याज ,कांदा ,Iris Yellow Spot Virus,आइरिस येलो स्पॉट वायरस ,स्टेमफिलियम करपा,Viral,Low,Iris yellow spot virus,The bulbs aren't developing well because the leaves are being destroyed.,पत्तियाँ नष्ट होने के कारण बल्ब अच्छे से विकसित नहीं हो पा रहे हैं।,बल्ब चांगले विकसित होत नाहीत कारण पाने नष्ट होत आहेत.,Use Thiamethoxam 25 WG at 0.2 gram per liter spray mix,थियामेथोक्सम 25 डब्ल्यूजी का 0.2 ग्राम प्रति लीटर स्प्रे मिश्रण का उपयोग करें,थायामेथोक्सम २५ डब्ल्यूजी ०.२ ग्रॅम प्रति लिटर या प्रमाणात मिसळून फवारणी करावी,Kharif,Scape,Maharashtra
271,onion,प्याज ,कांदा ,Iris Yellow Spot Virus,आइरिस येलो स्पॉट वायरस ,स्टेमफिलियम करपा,Viral,Low,Iris yellow spot virus,The yellow to brown lesions are causing the leaves to dry up too fast.,पीले से भूरे रंग के घावों के कारण पत्तियाँ बहुत तेजी से सूख रही हैं।,पिवळ्या ते तपकिरी जखमांमुळे पाने खूप लवकर सुकतात.,Spray Neem oil 5 ml per liter to repel thrips vector insects,थ्रिप्स वेक्टर कीटों को भगाने के लिए नीम के तेल का 5 मिलीलीटर प्रति लीटर छिड़काव करें,थ्रीप्स वाहक कीटकांना दूर करण्यासाठी कडुनिंबाचे तेल ५ मिली प्रति लिटर फवारावे,Rabi,Scape,Odisha
272,potato,आलू ,बटाटा ,Common Scab,सामान्य खुरंड रोग ,बटाट्यावरील खरूज ,Bacterial,Low,Streptomyces scabies,The quality and marketability of my tubers are down because of scab spots.,पपड़ी के धब्बों के कारण मेरे कंदों की गुणवत्ता और विपणन क्षमता कम हो गई है।,स्कॅब स्पॉट्समुळे माझ्या कंदांची गुणवत्ता आणि विक्रीक्षमता कमी झाली आहे.,Use scab-resistant variety Kufri Sindhuri for replanting,पुनः रोपण के लिए पपड़ी प्रतिरोधी किस्म कुफ़री सिंधुरी का उपयोग करें,पुनर्लावणीसाठी कुफरी सिंधुरी या खपल्या-प्रतिरोधक जातीचा वापर करा,Rabi,Stolons,Karnataka
273,rice,चावल ,तांदूळ ,Bacterial Leaf Streak,जीवाणु पत्ती धारी रोग ,जिवाणूजन्य पानावरील रेषा ,Bacterial,Severe,Xanthomonas oryzae pv. oryzicola,"Bacterial streaks are covering all the leaves, making the crop look yellow.","बैक्टीरिया की धारियाँ सभी पत्तियों को ढक रही हैं, जिससे फसल पीली दिख रही है।","जिवाणूच्या रेषा सर्व पानांना झाकून ठेवतात, ज्यामुळे पीक पिवळे दिसते.",Spray Bordeaux mixture 1% and use certified clean seed,बोर्डो मिश्रण 1% का छिड़काव करें और प्रमाणित स्वच्छ बीज का उपयोग करें,बोर्डो मिश्रण 1% फवारणी करा आणि प्रमाणित स्वच्छ बियाणे वापरा,Kharif,Leaves,Tamil Nadu
274,maize,मक्का,मक्का,Maize Streak Virus,मक्का स्ट्रीक वायरस,मका स्ट्रीक व्हायरस,Viral,Mild,Maize streak virus,My infected plants aren't producing any grain in these severe cases.,इन गंभीर मामलों में मेरे संक्रमित पौधे कोई अनाज नहीं पैदा कर रहे हैं।,या गंभीर प्रकरणांमध्ये माझी संक्रमित झाडे कोणतेही धान्य तयार करत नाहीत.,Use yellow sticky traps to monitor and catch leafhoppers,लीफहॉपर्स की निगरानी और पकड़ने के लिए पीले चिपचिपे जाल का उपयोग करें,पिवळ्या चिकट सापळ्यांचा वापर करा आणि पालापाचोळा पकडण्यासाठी,Kharif,Leaf,Tamil Nadu
275,potato,आलू ,बटाटा ,Blackleg,काली टांग रोग ,काळी कुज,Bacterial,Low,Pectobacterium atrosepticum,The plant is wilting and turning yellow because the stem base is rotting.,पौधा मुरझा रहा है और पीला पड़ रहा है क्योंकि तने का आधार सड़ रहा है।,स्टेमचा पाया कुजत असल्यामुळे वनस्पती कोमेजून पिवळी पडत आहे.,Avoid planting in waterlogged fields with poor drainage,खराब जल निकासी वाले जलजमाव वाले खेतों में रोपण से बचें,पाण्याचा निचरा कमी असलेल्या शेतात लागवड करणे टाळा,Rabi,Tubers,Maharashtra
276,soyabean,सोयाबीन ,सोयाबीन ,Rhizoctonia Root Rot,राइजोक्टोनिया जड़ सड़न,रायझोक्टोनिया मूळ कूज ,Fungal,Mild,Rhizoctonia solani,Pre-emergence damping-off is severely reducing my plant population.,उभरने से पहले की नमी मेरे पौधों की आबादी को गंभीर रूप से कम कर रही है।,पूर्व-उद्भव डॅम्पिंग-ऑफ माझ्या वनस्पतींची लोकसंख्या गंभीरपणे कमी करत आहे.,Drench soil with Carbendazim 1 gram per liter near seedling,अंकुर के पास मिट्टी को कार्बेन्डाजिम 1 ग्राम प्रति लीटर से गीला करें,रोपांजवळील माती कार्बेन्डाझिम 1 ग्रॅम प्रति लिटर मिसळून भिजवावी,Summer,Hypocotyl,Andhra Pradesh
277,maize,मक्का,मक्का,Gray Leaf Spot,धूसर पत्ती धब्बा ,करपा,Fungal,Mild,Cercospora zeae-maydis,The severe infection is leading to the leaves aging and dying prematurely.,गंभीर संक्रमण के कारण पत्तियाँ समय से पहले बूढ़ी हो रही हैं और मर रही हैं।,गंभीर संसर्गामुळे पाने वृद्ध होतात आणि अकाली मरतात.,Use gray leaf spot resistant hybrids for planting,रोपण के लिए ग्रे लीफ स्पॉट प्रतिरोधी संकर का उपयोग करें,लागवडीसाठी राखाडी पानांचे डाग प्रतिरोधक संकर वापरा,Rabi,Leaf,Jammu and Kashmir
278,maize,मक्का,मक्का,Southern Corn Leaf Blight,दक्षिणी मक्का पत्ती झुलसा ,दक्षिण मका पर्ण करपा,Fungal,Mild,Bipolaris maydis,The ear husks are developing brown discoloration patches.,कान की भूसी पर भूरे रंग के धब्बे विकसित हो रहे हैं।,कानाच्या भुसावर तपकिरी रंगाचे ठिपके तयार होत आहेत.,Apply iprodione fungicide at recommended dose,अनुशंसित खुराक पर आईप्रोडियोन कवकनाशी लागू करें,शिफारस केलेल्या डोसमध्ये आयप्रोडिओन बुरशीनाशक वापरा,Monsoon,Leaf,Tamil Nadu
279,potato,आलू ,बटाटा ,Powdery Scab,पाउडरी स्कैब,पावडरी खरूज ,Fungal,Severe,Spongospora subterranea,A powdery mass of spores is released whenever I press on the pustules.,जब भी मैं फुंसियों पर दबाव डालता हूँ तो बीजाणुओं का एक चूर्ण सा द्रव्यमान निकलता है।,जेव्हा मी पुस्ट्युल्सवर दाबतो तेव्हा बीजाणूंचा एक पावडर द्रव्यमान बाहेर पडतो.,Treat seed tubers with Fludioxonil fungicide before planting,रोपण से पहले बीज कंदों को फ्लुडियोक्सोनिल कवकनाशी से उपचारित करें,लागवडीपूर्वी बियाण्यांच्या कंदांवर फ्लुडिओक्सोनिल बुरशीनाशकाची प्रक्रिया करा,Winter,Roots,Punjab
280,groundnut,मूंगफली ,मूंगफली ,Late Leaf Spot,पछेती पत्ती धब्बा,उशिरा येणारे ठिपके ,Fungal,Severe,Phaeoisariopsis personata,The plant canopy is opening up because the disease caused heavy defoliation.,पौधे की छतरी खुल रही है क्योंकि रोग के कारण भारी मात्रा में पत्ते गिर गए हैं।,झाडाची छत उघडत आहे कारण या रोगामुळे मोठ्या प्रमाणात झीज होते.,Plant resistant variety ICGS 44 for late leaf spot control,पछेती पत्ती धब्बा नियंत्रण के लिए प्रतिरोधी किस्म ICGS 44 लगाएं,उशीरा पानावरील ठिपके नियंत्रणासाठी ICGS 44 प्रतिरोधक वाण लावा,Kharif,Pods,Tamil Nadu
281,soyabean,सोयाबीन ,सोयाबीन ,Bacterial Pustule,जीवाणु पुस्टूल ,जिवाणूजन्य फोड ,Bacterial,Severe,Xanthomonas axonopodis,I see spots turning brown with a yellow halo on the leaf surface.,मुझे पत्ती की सतह पर पीले प्रभामंडल के साथ भूरे रंग के धब्बे दिखाई देते हैं।,मला पानाच्या पृष्ठभागावर पिवळ्या प्रभामंडलासह तपकिरी रंगाचे डाग दिसत आहेत.,Apply Copper hydroxide 77 WP at 2 gram per liter spray,कॉपर हाइड्रॉक्साइड 77 WP 2 ग्राम प्रति लीटर की दर से छिड़काव करें,कॉपर हायड्रॉक्साईड ७७ डब्ल्यूपी २ ग्रॅम प्रति लिटर या प्रमाणात फवारावे,Kharif,Petioles,Karnataka
